,model,pooling,mv_window_size,mv_window_shift_frac,per_cls_precision_0,per_cls_precision_1,per_cls_precision_2,per_cls_precision_3,per_cls_recall_0,per_cls_recall_1,per_cls_recall_2,per_cls_recall_3,macro_precision,macro_recall,macro_f1,overall_accuracy
57,BERT,asymmetric-max,1024,0.25,0.9989268096492535,0.9052393729692803,0.7460716530437079,0.4916666666564236,0.996065328237132,0.9709179036648206,0.8958490565970125,0.7763157894481475,0.7854761255796663,0.9097870194867782,0.8430738095539368,0.995009581682603
58,BERT,asymmetric-max,1024,0.5,0.9985492219485301,0.9206659428151135,0.8282828282768523,0.585714285697551,0.9970822454842122,0.9632687064518606,0.8664150943330837,0.6743421052409756,0.8333030696845116,0.8752770378775331,0.8537744703812272,0.9956569658336064
59,BERT,asymmetric-max,1024,1.0,0.9976268509539445,0.931474941768028,0.8741721854232272,0.7195121950927027,0.9977697388343509,0.9388821569214337,0.7969811320694568,0.5822368420861106,0.8806965433094757,0.828967467477838,0.8540494205259578,0.9954464666924826
60,BERT,gaussian,128,0.25,0.9986255520323599,0.9194924367331568,0.9292929292851071,0.8103448275512782,0.997530343828499,0.9713723114200459,0.8332075471635231,0.6184210526112361,0.9144389364004756,0.8551328137558261,0.883792065740193,0.9961832136864158
61,BERT,gaussian,128,0.5,0.9985290743411359,0.913012477717709,0.9128595600599589,0.7913043477916823,0.9972950410449695,0.9697818842767572,0.8143396226353635,0.5986842105066222,0.9039263649776216,0.8450251896159281,0.8734839356646966,0.9958515782470981
62,BERT,gaussian,128,1.0,0.9981250461054032,0.9077983627740142,0.7457020057253174,0.7445887445565113,0.9966546082515366,0.957437140259802,0.7856603773525611,0.5657894736655991,0.8490535397903115,0.8263853998823747,0.8375661185843098,0.9948109975872033
63,BERT,gaussian,256,0.25,0.9984094165813511,0.9310697334786922,0.9515570934173742,0.8177570093075814,0.9979354738384022,0.9656922144797291,0.8301886792390175,0.575657894717906,0.9246983131962496,0.8423685655687637,0.8816155139609592,0.9963937128275396
64,BERT,gaussian,256,0.5,0.99835192619903,0.9267351248991866,0.9365351629422254,0.794520547908926,0.9977738310566732,0.9637231142070859,0.8241509433900065,0.5723684210338037,0.914035690487342,0.8395040774218924,0.8751859510003963,0.9961673269587838
65,BERT,gaussian,256,1.0,0.9980854287820256,0.9230600453441651,0.8101460415003064,0.7316017315700605,0.9973257327123863,0.9558467131165133,0.7954716981072041,0.555921052613292,0.8657233117991394,0.8261412991373489,0.8454692800507209,0.9954405091696206
66,BERT,gaussian,512,0.25,0.9984276632988156,0.9304182231004684,0.928051738068488,0.8043478260519848,0.9978413527249904,0.9620569524379263,0.8664150943330837,0.6085526315589291,0.9153113626299393,0.8587165077637324,0.8861111885790953,0.9963222225531957
